,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.05,1.11,1.05,1.11,30709,,,,,,,0.06000000000000005
1,1.1,1.12,1.0701,1.1,18512,,,,,,,0.059278571428571486
2,1.08,1.0999,1.06,1.08,21631,,,,,1.049983291874049,1.120016708125951,0.057901530612244956
3,1.06,1.07,1.06,1.07,11396,,,,,1.0575354289478516,1.1217928908281172,0.05519427842565604
4,1.05,1.09,1.0,1.0249,100154,,,,,1.0053589838486223,1.1018649889666954,0.057680401395252046
5,1.01,1.11,0.9811,1.11,65971,,,,,0.9725044905359818,1.1099999999999999,0.06276751558130547
6,1.04,1.1006,1.0001,1.09,3730,,,,,0.9827924314814138,1.110205998201079,0.06613412161121224
7,1.02,1.0899,1.0,1.03,33410,,,,,0.9827924314814138,1.1102236708594335,0.06783882721041137
8,1.0,1.05,0.913,0.95,130756,1.06,,,,0.920774967528889,1.106833937493156,0.07277891098109628
9,0.65,0.89,0.65,0.85,125778,1.03,,,,0.6721072832380373,1.1157589316643182,0.08900898876816082
10,0.8925,0.93,0.8501,0.8502,21611,1.01,,,,0.6670316626315214,1.0399333066453118,0.08836548957043505
11,0.8569,0.8569,0.65,0.79,29548,0.97,,,,0.6011722111351557,0.9289042347276919,0.09683224031540397
12,0.8295,0.8295,0.64,0.6427,38667,0.93,,,,0.5948466121048612,0.9240862286649055,0.10345136600716083
13,0.65,0.7,0.5,0.58625,12272,0.88,,,,0.5128016958306058,0.8792706244093251,0.11034769700664934
14,0.69,0.69,0.6733,0.68,10340,0.83,,,,0.5124715840386762,0.8176477493070673,0.10987643293474582
15,0.685,0.685,0.6,0.685,11283,0.78,,,,0.504107873919532,0.6993042928249246,0.10809954486797826
16,0.647,0.685,0.55,0.647,13286,0.74,,,,0.5457508353545463,0.6895534180126099,0.11002100594883697
17,0.685,0.685,0.5548,0.627,17490,0.71,,,,0.540680196552979,0.685,0.1114623626667772
18,0.62,0.778,0.561,0.775,44674,0.7,,,,0.5497518381712926,0.7696935750346349,0.11900076533343597
19,0.78,0.9132,0.62,0.7301,67943,0.68,0.87,,,0.5426127800462437,0.906815145233196,0.1314435678096191
20,0.6749,0.829,0.659,0.7984,31456,0.69,0.86,,,0.5639943696906567,0.9083426751420692,0.1341975986803606
21,0.829,0.8358,0.67,0.828,13029,0.71,0.84,,,0.6233924714680816,0.9061069726329778,0.13645491306033483
22,0.818,0.818,0.67111,0.7695,56128,0.73,0.83,,,0.660009004888049,0.8365822046291496,0.13791456212745376
23,0.77,0.77,0.77,0.77,2375,0.74,0.81,,,0.6462860534140153,0.8419688050258667,0.12809923626120706
24,0.74,0.75,0.632,0.729987,200032,0.74,0.8,,,0.619911396661321,0.8142809131255484,0.12880643367112085
25,0.64,0.7585,0.62,0.7,78861,0.75,0.78,,,0.5906453360633012,0.769537429949938,0.12949883126604078
26,0.7,0.78,0.64,0.733601,436600,0.76,0.76,,,0.6206002207529719,0.7782956531247892,0.13024891474703787
27,0.7538,0.8287,0.7021,0.795,41576,0.76,0.75,,,0.611222080918421,0.8250341983213862,0.12998827797939233
28,0.8182,0.8698,0.702,0.8199,68286,0.77,0.74,,,0.6455420475712272,0.8711202353051327,0.1326891152665786
29,0.819,0.94,0.819,0.94,29777,0.79,0.74,,,0.6735122008388814,0.9357804584203072,0.13185417846182299
30,0.94,0.94,0.94,0.94,2900,0.8,0.75,,,0.7013277312243011,0.957129988897111,0.12243602285740707
31,0.9171,0.92,0.77,0.8898,9146,0.81,0.75,,,0.7554957143906654,0.9448803387171242,0.1258334497961637
32,0.76,0.93,0.7211,0.859,25719,0.82,0.77,,,0.6954693066737874,0.9399999999999982,0.13176677481072346
33,0.9,0.9,0.7802,0.815,31443,0.83,0.78,,,0.7255087037302993,0.9319419189831847,0.13091200518138607
34,0.9259,0.9259,0.76,0.89,65595,0.85,0.79,,,0.7237276365003426,0.9348999658469573,0.13341114766842993
35,0.91,0.91,0.8,0.8396,112809,0.87,0.79,,,0.7600663333361111,0.9250281877623617,0.13173892283497066
36,0.88,0.93,0.84001,0.9188,147759,0.88,0.81,,,0.7599983332291795,0.9325309145496583,0.12878614263247276
37,0.94,0.94,0.823,0.91,70604,0.89,0.82,,,0.8009237408739898,0.9419419189831849,0.12794427530158187
38,0.94,0.94,0.8281,0.91,67719,0.89,0.83,,,0.8216407560464837,0.9424401693585602,0.12679825563718317
39,0.83,0.9,0.83,0.89,119361,0.88,0.84,,,0.8234134806659816,0.9497606774342509,0.12345552309167009
40,0.91,0.91,0.7746,0.9,31088,0.88,0.84,,,0.7794489268863526,0.9374833266613269,0.12430870001369367
41,0.91,0.91,0.840101,0.91,35426,0.89,0.85,,,0.7796356881439468,0.9124401693585589,0.12042229286985841
42,0.9,0.96,0.8478,0.96,98012,0.9,0.86,,,0.7806095122276566,0.9555341801261474,0.1198349862362971
43,0.98,0.9879,0.9,0.9859,31670,0.91,0.87,,,0.830045312913626,0.9921023507182812,0.1175539157908473
44,0.986,0.986,0.9101,0.9789,5935,0.93,0.88,,,0.8525298107538671,0.9935552308511365,0.11457863609150105
45,0.966,0.97,0.9,0.9698,7050,0.93,0.89,,,0.8975354289478532,0.9911320903169167,0.11203016208496527
46,0.969,0.969,0.92,0.959243,125806,0.94,0.9,,,0.9000331666680566,0.9845393920141694,0.10758515050746775
47,0.9226,0.9685,0.9,0.9601,26219,0.95,0.91,,,0.8951196612828751,0.9699304292824886,0.10479335404264863
48,0.93,0.97,0.9,0.9699,83154,0.95,0.92,,,0.895119661282875,0.9699304292824886,0.10230811446817371
49,0.9393,0.98,0.9021,0.958,46384,0.96,0.92,0.87,,0.8994875644347096,0.9790849997778368,0.10056467772044703
50,0.95,0.97,0.9022,0.97,12008,0.97,0.92,0.87,,0.9001910236564353,0.9791068360252294,0.09822434359755795
51,1.0,1.08,0.92,1.06,66832,0.98,0.93,0.87,,0.8977941764036067,1.0708276253029827,0.10263689048344667
52,1.09,1.1,0.9512,0.99,89028,0.98,0.94,0.87,,0.8996631722891945,1.1200000000000008,0.10593425544891477
53,0.96,0.988,0.9595,0.9601,6933,0.98,0.94,0.87,,0.92273968096702,1.1157327380922732,0.10054609434542086
54,0.96,1.05,0.96,1.03,61352,0.98,0.95,0.87,,0.9519573286575019,1.102107040556423,0.09979280189217653
55,1.06,1.06,0.9602,1.05,87444,0.99,0.96,0.87,,0.9595394448725216,1.071670939936828,0.09979331604273535
56,1.09,1.12,1.0201,1.12,1046031,1.01,0.97,0.87,,0.9454588395113569,1.1145260556386705,0.09980093632539712
57,1.28,1.41,1.22,1.3499,294055,1.05,0.99,0.87,,0.930724969627365,1.3838386018848867,0.11338658373072588
58,1.37,1.37,1.15,1.18,320708,1.08,1.01,0.88,,1.0285986088385473,1.4571623364550184,0.12100182774995975
59,1.18,1.2512,1.18,1.18,66070,1.1,1.02,0.88,,1.1482144874904932,1.426327602706782,0.11744455433924834
60,1.19,1.19,1.16,1.18,54061,1.12,1.04,0.89,,1.1480580810168188,1.3619231118352098,0.11119851474358775
61,1.19,1.19,1.16,1.16,37650,1.13,1.05,0.9,,1.155119661282881,1.2457338364744077,0.10539862083333149
62,1.16,1.2,1.1,1.18,34567,1.16,1.06,0.91,,1.1053589838486249,1.1991068360252415,0.10501300505952209
63,1.21,1.22,1.15,1.185,31382,1.18,1.07,0.92,,1.104521164130026,1.218608585649858,0.10251207612669909
64,1.15,1.21,1.15,1.17,97562,1.19,1.08,0.93,,1.1044658198738553,1.2200000000000089,0.0994754992605063
65,1.1692,1.19,1.1692,1.19,18874,1.2,1.09,0.94,,1.1453148748315656,1.2219419189831915,0.09385582074189872
66,1.18,1.245,1.1773,1.22,109310,1.18,1.1,0.95,,1.1514789444049365,1.2428388218141537,0.0919875478317631
67,1.27,1.27,1.21,1.26,34330,1.19,1.12,0.96,,1.1638993055667215,1.2759267638593657,0.08970272298663719
68,1.27,1.28,1.1901,1.21,46983,1.19,1.13,0.97,,1.1759887015819477,1.2830277563773296,0.0897168142018774
69,1.22,1.22,1.15,1.15,160116,1.19,1.14,0.98,,1.1528051985518462,1.288812169203315,0.08830847033031473
70,1.15,1.17,1.05,1.05,219430,1.18,1.14,0.99,,1.057880694203963,1.2784090388061966,0.09057215102100653
71,1.16,1.385,1.075,1.3501,450836,1.2,1.16,1.0,,1.039625016680015,1.3708425922115857,0.10803128309093464
72,1.25,1.39,1.24,1.39,263344,1.22,1.18,1.01,,1.0184274622270104,1.4405985668708066,0.11102904858443931
73,1.4,1.43,1.35,1.35,19548,1.24,1.2,1.02,,1.08325303535337,1.4263310809782626,0.10881268797126506
74,1.25,1.33,1.16,1.32,22188,1.26,1.21,1.03,,1.1546060798583058,1.4336655629018118,0.11461178168760329
75,1.36,1.38,1.28,1.35,63396,1.27,1.23,1.05,,1.1672430979640032,1.4300000000000064,0.11356808299563162
76,1.37,1.38,1.33,1.37,29514,1.28,1.24,1.06,,1.169297717186126,1.3922008467928253,0.10902750563880079
77,1.37,1.38,1.305,1.32,11002,1.29,1.24,1.07,,1.2800000000000014,1.38,0.10659696952174359
78,1.29,1.35,1.2,1.26,39858,1.31,1.24,1.08,,1.2093526597114175,1.3873205080757072,0.1096971859844762
79,1.25,1.25,1.16,1.195,48122,1.32,1.24,1.08,,1.1467778602044638,1.394735259522211,0.1090045298427279
80,1.24,1.24,1.15,1.15,30448,1.3,1.24,1.09,,1.143542486889355,1.3408276253029852,0.10764706342539021
81,1.17,1.2099,1.17,1.18,20985,1.28,1.24,1.09,,1.150000000000002,1.254172709455176,0.1042365588950052
82,1.19,1.2,1.17,1.2,14544,1.26,1.24,1.1,,1.1517863279495426,1.237466079991743,0.09893394754536197
83,1.23,1.23,1.15,1.18,27601,1.25,1.24,1.11,,1.1517863279495426,1.2285862683477733,0.09758152272069326
84,1.12,1.2,1.1101,1.185,60761,1.23,1.24,1.11,,1.1128707106506097,1.2273205080756924,0.09703284252635802
85,1.141,1.2,1.141,1.2,29332,1.21,1.24,1.12,,1.1127722672035416,1.2273205080756924,0.09431621091733244
86,1.2,1.24,1.17,1.23,56372,1.2,1.25,1.13,,1.1104116448283623,1.236427344100921,0.09257933870895156
87,1.2,1.23,1.2,1.225,15037,1.19,1.24,1.13,,1.1408319209377666,1.2441499933279985,0.08810938594402645
88,1.27,1.38,1.2201,1.3012,20816,1.21,1.25,1.14,,1.171487503098662,1.3671983041693958,0.09323728694802456
89,1.32,1.34,1.22,1.25,40625,1.22,1.25,1.15,,1.2017906857867018,1.3943412013182093,0.09514890930887997
90,1.29,1.33,1.23,1.24,17474,1.22,1.26,1.15,,1.217621813898029,1.376457513110654,0.09549541578681711
