,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,52.21,55.18,51.59,55.1,563878,,,,,,,3.5899999999999963
1,55.35,57.25,54.345,57.07,484900,,,,,,,3.541071428571425
2,57.59,58.7,56.28,56.79,509197,,,,,,,3.4609948979591807
3,57.59,58.21,56.31,57.89,327533,,,,,,,3.349495262390668
4,56.9,57.08,54.78,55.64,432614,,,,,,,3.332388457934192
5,53.87,55.49,53.6,55.38,313504,,,,,,,3.240074996653178
6,52.59,53.225,46.31,46.36,377253,,,,,,,3.656498211177951
7,47.37,47.62,43.7,46.72,491009,,,,,,,3.6753197675223825
8,45.66,46.29,44.53,45.93,962142,52.99,,,,,,3.569225498413641
9,43.32,43.8,38.89,38.96,522798,51.19,,,,,,3.8171379628126663
10,41.31,41.72,39.29,41.23,531397,49.43,,,,,,3.741628108326047
11,34.5,37.49,31.815,35.73,1427234,47.09,,,,,,4.146868957731329
12,35.86,36.63,31.8,33.85,614028,44.42,,,,,,4.195664032179091
13,32.3,32.95,28.89,32.61,591738,41.86,,,,,,4.250259458452013
14,32.48,40.99,32.0,38.17,1236892,39.95,,,,,,4.588812354276869
15,38.2,40.33,35.72,35.95,729151,38.79,,,,,,4.590325757542807
16,36.8,38.04,34.25,36.53,265253,37.66,,,,,,4.533159632004035
17,38.08,40.67,38.08,40.26,336426,37.03,,,,,,4.505076801146604
18,40.16,42.55,39.11,40.05,518999,37.15,,,,,,4.428999886778989
19,40.44,41.04,38.99,40.6,332701,37.08,44.54,,,24.146550932065768,62.975590155181024,4.259071323437633
20,39.25,41.03,38.11,39.7,318425,37.52,43.77,,,23.890298052613794,61.87197421813049,4.163423371763517
21,39.72,42.37,39.2868,41.98,745788,38.43,43.02,,,24.10897786219771,60.21409658414595,4.086264559494694
22,41.9,43.47,40.87,42.1,252348,39.48,42.28,,,24.916203164954176,57.9987580669785,3.9801028052450733
23,40.72,41.54,39.0,39.85,222346,39.67,41.38,,,26.01485434704704,55.49479049058547,3.9172383191561395
24,39.73,41.82,39.43,40.83,176333,40.21,40.64,,,27.344111932757507,52.857952517308405,3.808149867787844
25,40.07,41.14,38.34,39.31,143414,40.52,39.84,,,29.014669316745465,50.14246866331983,3.736139162945855
26,41.15,43.23,41.1,42.97,542386,40.82,39.67,,,29.515120573182642,47.73994665608988,3.7492720798782937
27,44.36,45.805,42.73,42.86,430540,41.13,39.47,,,29.607723399175782,47.316266699480124,3.701109788458416
28,44.11,46.19,43.26,45.85,180595,41.72,39.47,,,29.758036608141893,47.29385268888324,3.674601946425672
29,47.08,49.16,47.0,49.0,271573,42.75,39.97,,,29.097991693629652,48.45206869741865,3.6485589502524096
30,48.37,48.85,47.04,47.58,349640,43.37,40.29,,,28.604815650645698,49.556968436228175,3.527947596662952
31,48.15,49.8283,46.96,47.64,407096,43.99,40.88,,,29.145782654716434,50.685745701938984,3.480829911187027
32,45.82,46.86,45.15,46.03,645843,44.67,41.49,,,30.08733058749232,50.96247699761428,3.4100563461022397
33,45.77,47.295,44.7,46.16,1177840,45.27,42.17,,,32.11441991000302,50.40842092194813,3.3518380356663653
34,47.34,48.27,46.9,48.26,491912,46.26,42.68,,,33.428078944503376,50.958704724585246,3.2631353188330543
35,47.15,49.32,46.87,48.66,505765,46.89,43.31,,,34.071040752350896,51.57578560323159,3.2050542246306937
36,47.35,47.93,45.77,47.02,1243044,47.36,43.84,,,35.3436469784378,51.56128388951324,3.1825503514427864
37,47.69,47.75,46.44,47.56,481887,47.55,44.2,,,35.85756290262549,51.713551418946075,3.048796754911159
38,47.7,49.65,47.7,49.04,753556,47.55,44.65,,,36.20037273349918,52.217684369872025,2.980311272417505
39,49.18,50.27,48.17,50.01,587875,47.82,45.12,,,36.64079659117337,52.61900588911518,2.9174318958162546
40,49.96,52.82,49.86,52.38,554144,48.35,45.75,,,37.24576841936348,53.411125295666096,2.9204724746865223
41,53.41,54.0,51.21,51.4,257566,48.94,46.23,,,37.62500576784657,54.421139751843846,2.9111530122089135
42,53.24,57.1,53.06,56.83,299239,50.13,46.96,,,37.64803598012128,56.107711420693505,3.1103563684797058
43,55.48,55.91,53.73,54.28,502794,50.8,47.68,,,38.20482135737521,56.98192481222938,3.1096166278740127
44,53.0,53.91,52.43,52.9,254263,51.27,48.29,,,39.08405134567504,57.24380720803057,3.019644011597298
45,51.95,52.49,51.09,52.01,327816,51.82,48.92,,,40.64013002160956,56.94591867763248,2.9332408679117763
46,53.22,54.6,52.305,53.47,235766,52.48,49.45,,,41.599261906598855,57.09807346665047,2.908723663060935
47,53.65,54.46,51.63,51.92,456162,52.8,49.9,,,42.38701191092323,57.397749847506,2.903100544270868
48,51.0,54.28,49.705,51.6,536152,52.98,50.19,,,43.22322719955385,57.591192206794176,3.0225219339658063
49,52.0,52.57,50.7,52.37,228043,52.98,50.36,46.45,,43.42593079619137,57.70973928192603,2.9401989386825345
50,51.3,51.72,50.09,50.43,602884,52.87,50.5,46.35,,43.64505265895239,57.73760696452945,2.893041871633782
51,50.75,50.75,46.73,47.2,317072,51.8,50.48,46.16,,43.61299501320955,57.743233985908084,2.973538880802798
52,46.52,46.52,44.85,45.5,601252,50.82,50.45,45.93,,43.550766602508666,57.78303504156671,2.929000389316884
53,44.67,45.72,43.0007,45.64,429656,50.02,50.42,45.69,,43.13917508966179,57.96780185933737,2.9140217900799636
54,45.4,45.685,44.4,45.2,340540,49.26,50.27,45.48,,42.72177256309744,58.20362223759278,2.797663090788538
55,46.99,49.635,46.12,49.3,302135,48.8,50.3,45.36,,42.622248790914526,58.200871176956795,2.9146157271607853
