,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,46.27,46.795,44.54,46.78,250905,,,,,,,2.2550000000000026
1,46.79,47.865,44.49,44.96,318904,,,,,,,2.335000000000002
2,45.76,45.91,44.91,45.9,205279,,,,,,,2.2396428571428593
3,44.7,44.71,42.93,43.73,394323,,,,,,,2.291811224489798
4,42.29,44.44,42.25,44.24,697722,,,,,,,2.2845389941690977
5,40.78,41.86,40.76,41.0,935646,,,,,,,2.369929066014162
6,42.16,43.03,40.63,42.26,750880,,,,,,,2.372076989870293
7,41.06,41.655,39.9375,40.08,874768,,,,,,,2.3685357763081294
8,36.1,38.28,34.19,34.43,1024042,42.6,,,,,,2.620068935143263
9,36.41,36.67,33.7725,36.13,975240,41.41,,,,,,2.6398854397758873
10,28.11,32.96,28.11,28.75,1254434,39.61,,,,,,3.0241793369347527
11,29.2,29.56,25.7296,26.51,1295606,37.46,,,,,,3.0817665271536985
12,24.55,24.77,20.04,21.76,1726538,35.02,,,,,,3.3237832037855775
13,21.29,24.1,19.99,23.32,1873732,32.69,,,,,,3.379941546372322
14,23.27,24.96,21.63,22.09,1647650,30.59,,,,,,3.376374293060014
15,21.93,22.18,20.31,21.28,1086870,28.26,,,,,,3.268776129270013
16,22.85,24.78,21.96,24.71,1553806,26.55,,,,,,3.2852921200364404
17,25.19,29.89,24.69,28.43,1079270,25.89,,,,,,3.422056968605266
18,29.02,29.6095,27.94,28.4,770236,25.03,,,,,,3.2968743279906043
19,27.4,27.81,26.39,27.63,728700,24.9,33.62,,,13.26762815066753,52.92103732689584,3.2049547331341324
20,27.59,28.49,26.11,28.44,1312472,25.12,32.7,,,13.080619951000763,51.343231562965094,3.146029395053123
21,28.25,28.8878,27.3942,28.01,604446,25.81,31.86,,,13.246084524711836,49.269671124453154,3.0279987239779
22,26.75,27.0699,25.165,26.15,973244,26.13,30.87,,,13.522327759924593,47.37640906961784,3.0149273865509074
23,25.59,26.2192,24.05,24.54,918170,26.4,29.91,,,13.731056456171723,45.4813682512261,2.954518287511557
24,24.4,24.82,22.48,23.03,699838,26.59,28.85,,,14.005820033853457,43.354120007952105,2.9106241241178745
25,24.35,26.86,24.3325,26.36,900360,26.78,28.12,,,14.638016068509714,41.4968788615352,2.9762938295380263
26,28.15,30.16,27.7,28.64,1459780,26.8,27.43,,,15.880832989697131,39.05309954824472,3.0351299845710247
27,29.5,32.93,28.81,31.74,1366964,27.17,27.02,,,17.523178862577332,36.91813517975428,3.124763557101666
28,32.5,35.95,32.5,33.55,1146846,27.83,26.97,,,17.794883718119937,36.279887977917674,3.202280445880119
29,33.79,33.79,31.245,31.93,668112,28.22,26.76,,,18.179928742016905,35.585860758946616,3.1553318426029677
30,32.96,33.55,31.685,31.94,994962,28.65,26.92,,,17.90170442769334,35.699157517709274,3.0631652824170414
31,30.28,31.065,29.26,30.34,721260,29.12,27.11,,,17.894867362839435,35.85789406599801,3.035796333672967
32,30.62,30.68,29.69,29.97,887012,29.72,27.52,,,18.65901529517957,36.0158716502884,2.889668024124898
33,31.31,32.62,31.31,32.38,835550,30.76,27.98,,,19.483272738674025,36.307674664534005,2.872548879544548
34,31.58,31.77,29.86,30.2,696254,31.19,28.38,,,20.185830301321257,36.46209737324343,2.8473668167199375
35,29.05,29.97,29.01,29.42,445772,31.27,28.79,,,21.372558110456044,35.957296078068374,2.7289834726685136
36,30.06,30.06,28.57,29.0,477538,30.97,29.01,,,22.286365703930812,35.73680001497971,2.6404846531921913
37,29.08,30.88,29.0,29.9,422014,30.56,29.08,,,22.69432853925759,35.79555937360321,2.5861643208213208
38,30.64,31.63,30.34,31.27,459574,30.49,29.22,,,22.726200830827985,35.92741910655488,2.5250097264769407
39,32.45,33.5,31.7963,32.92,564664,30.6,29.49,,,22.85139963983046,36.26497312364637,2.5039376031571594
40,33.7,34.95,33.55,34.45,463810,31.06,29.79,,,22.91945327771765,36.82405565713738,2.4700849172173625
41,36.01,37.62,35.615,37.22,528848,31.86,30.25,,,22.667893126182175,37.89581634961719,2.520078851701836
42,36.89,36.89,35.49,35.98,475865,32.26,30.74,,,22.93604984953569,38.5202649343315,2.4636446480088474
43,35.0,35.6,33.27,34.14,449459,32.7,31.22,,,23.799716179013238,38.65171820837061,2.481241458865358
44,33.14,34.35,32.32,34.2,336489,33.23,31.78,,,25.382099748069862,38.13425509432064,2.449009926089261
45,34.74,35.785,33.84,33.99,396083,33.79,32.16,,,26.625488583842564,37.974410331969445,2.413009217082885
46,34.34,34.9307,32.51,33.11,626844,34.14,32.38,,,27.150714558486115,38.0504310872404,2.413558558719822
47,34.33,35.66,34.14,34.7,756855,34.52,32.53,,,27.454098259819443,38.285398537382484,2.42330437595412
48,35.75,36.41,35.01,35.97,652638,34.86,32.65,,,27.346998657662937,38.36153481851142,2.3723540633859685
49,36.0,36.15,35.07,35.51,879998,34.98,32.83,32.23,,27.33199751770649,38.615486537680965,2.280043058858399
50,35.71,36.12,33.37,33.42,427793,34.56,32.9,31.96,,27.3849917844592,38.86016654928821,2.313611411797085
51,33.0,33.39,31.58,31.83,740407,34.1,32.98,31.7,,27.688001790691477,38.81186909461258,2.279782025240151
52,30.88,31.48,29.65,31.01,811687,33.75,33.03,31.4,,27.681230025348015,38.75080053754615,2.272654737722997
53,30.48,31.38,30.08,30.61,805919,33.35,32.94,31.14,,27.533581465587382,38.79490524041396,2.203179399314212
