,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,12.4,12.8627,12.08,12.64,1331766,,,,,,,0.7827000000000002
1,12.66,13.14,12.389,13.08,706098,,,,,,,0.7804357142857146
2,13.08,13.56,12.69,12.97,989592,,,,,,,0.7868331632653064
3,13.15,13.6,13.04,13.57,457898,,,,,,,0.7756307944606416
4,13.19,13.39,13.02,13.2,544691,,,,,,,0.7595143091420244
5,12.67,13.03,12.18,12.22,837946,,,,,,,0.7781204299175941
6,11.1,11.48,9.96,9.96,1798776,,,,,,,0.8839689706377659
7,10.45,11.17,10.2348,11.06,2349642,,,,,,,0.9072569013064968
8,10.63,10.82,9.94,10.155,1475574,12.1,,,,,,0.9224528369274615
9,9.0,9.35,8.45,8.72,1311184,11.66,,,,,,0.9783490628612143
10,9.57,9.9,8.82,9.25,1167027,11.23,,,,,,0.9927527012282704
11,7.72,8.59,7.1,7.13,4288794,10.58,,,,,,1.0754132225691082
12,7.32,7.79,6.8,7.65,1546429,9.93,,,,8.29020961104489,13.458849680365802,1.0693122780998863
13,6.91,7.1,5.89,6.1,2012910,9.14,,,,7.532286133541695,13.290076900314297,1.1186471153784658
14,5.9,6.9,5.85,6.1,2820060,8.46,,,,6.887973318359014,12.97064806711178,1.1137437499942897
15,6.33,7.44,6.1,6.78,3460274,8.1,,,,6.404362852616927,12.453451667853429,1.1299049107089836
16,6.77,6.79,6.27,6.45,1633910,7.59,,,,6.0814021354069645,11.83011610295917,1.0863402742297705
17,6.74,7.55,6.71,7.27,974576,7.27,,,,5.9713885553143005,11.118450634015863,1.0873159689276441
18,7.5,8.03,7.25,7.62,1041770,7.15,,,,6.011657166232264,10.364439981677494,1.0653648282899553
19,7.83,8.192,7.68,7.86,892346,7.0,9.49,,,5.990613902312713,9.888273603678321,1.0301244834121013
20,7.42,7.53,6.76,6.76,872025,6.95,9.2,,,5.971885081151352,9.368115862641492,1.0351155917398083
21,7.04,7.0747,6.45,6.72,802929,6.85,8.88,,,6.007816737909302,8.808667844291776,1.0058001923298219
22,6.71,7.42,6.71,7.05,1855666,6.96,8.58,,,5.9935689135859604,8.552778005844727,0.9846716071634061
23,6.73,6.93,6.51,6.8,1303626,7.03,8.24,,,6.090912319547594,8.033117914970063,0.9529093495088771
24,6.77,7.23,6.55,7.21,639219,7.08,7.94,,,6.0683742737505115,7.818860965479089,0.9334158245439573
25,7.2,7.36,6.98,7.34,1175453,7.18,7.7,,,6.073375332171378,7.7682806259735395,0.8938861227908176
26,7.56,7.82,6.86,7.0,2153610,7.15,7.55,,,6.189359197712897,7.835338264486645,0.8986085425914734
27,7.38,7.59,6.78,6.9,1302791,7.07,7.34,,,6.328632394123127,7.862696910255309,0.8922793609777967
28,7.09,7.24,7.0,7.19,934804,7.0,7.2,,,6.441018886386263,7.8518406481712075,0.8528308351936683
29,7.42,7.54,6.8726,7.09,803516,7.03,7.11,,,6.524864716974095,7.8596277900590925,0.8395857755369778
30,7.1,7.18,6.6037,6.82,1702916,7.04,6.99,,,6.511523114385506,7.841432970756583,0.8207796487129079
31,6.96,7.23,6.8,7.12,1705568,7.05,6.99,,,6.499569714659598,7.744100285967697,0.792866816661986
32,6.86,7.75,6.59,7.58,4469114,7.14,6.99,,,6.551154503810077,7.638693796662533,0.8190906154718441
33,7.48,7.6,7.07,7.51,4748864,7.17,7.06,,,6.551091653489393,7.648180109408573,0.7984412857952838
34,7.7,7.78,7.16,7.31,5085168,7.17,7.12,,,6.598285485643918,7.706448082790424,0.7856954796670493
35,7.12,7.62,6.85,7.35,6020126,7.21,7.15,,,6.610855622756436,7.726488340420799,0.7845743739765458
36,7.2,7.23,6.85,6.86,3306677,7.2,7.17,,,6.658801434820505,7.712193981596607,0.7642476329782212
37,7.02,7.1508,6.62,6.66,2910480,7.14,7.14,,,6.672627310953559,7.713788287643472,0.7475728020512054
38,6.7,6.72,6.2,6.29,6238771,7.06,7.07,,,6.542265521531851,7.740599809579839,0.7313176019046908
39,6.3,6.4681,6.0,6.11,2862496,6.98,6.98,,,6.394830027184461,7.70714128164344,0.7125163446257843
40,6.21,6.3899,5.66,5.945,6703827,6.85,6.94,,,6.1968967238134125,7.6805681648524295,0.7137580342953711
41,6.0,7.09,6.0,6.98,2210312,6.78,6.96,,,6.10174637211534,7.670453876394421,0.7445610318457017
42,7.52,7.8,7.23,7.47,1669143,6.78,6.98,,,6.099151485740004,7.711160050551556,0.7499495295710086
43,7.4,7.766,6.96,7.12,2284956,6.75,6.99,,,6.1156729132385745,7.778036711091065,0.7539531346016509
44,6.92,7.0324,6.36,6.62,883887,6.67,6.96,,,6.080528263193567,7.767338496901939,0.7543850535586759
45,6.67,7.1,6.5,7.075,1150814,6.7,6.95,,,6.073121038612604,7.696721475412794,0.7433575497330562
46,7.18,7.47,6.79,6.9,1154851,6.72,6.94,,,6.0689832007882005,7.679329637467019,0.7388320104664095
47,6.9,7.4,6.57,7.23,1059317,6.83,6.96,,,6.0590134019627255,7.622590283014288,0.7453440097188088
48,7.33,8.22,7.07,7.84,4238346,7.02,6.99,,,6.0580933857109,7.743061838341463,0.7742480090246082
49,8.0,8.43,7.88,8.1,3260212,7.26,7.04,8.01,,6.007658518152212,7.933892841157595,0.761087436951422
50,7.98,8.88,7.69,8.81,1557859,7.46,7.14,7.94,,6.017844162370518,8.20022017229225,0.791724048597749
51,9.0,9.43,8.66,8.74,4186008,7.6,7.22,7.85,,6.03074912956648,8.552385873605893,0.7901723308407669
52,8.72,8.75,7.66,7.96,6501050,7.7,7.24,7.75,,6.176412684390481,8.699865598158663,0.8115885929235692
53,7.77,8.67,7.56,8.46,3878136,7.9,7.29,7.65,,6.4172086620700854,8.786848627162302,0.8329036934290286
54,8.46,8.79,8.1603,8.4,1465522,8.05,7.35,7.55,,6.621659963148525,8.894070670849523,0.8183891438983837
55,9.11,9.14,8.64,8.89,2889468,8.27,7.42,7.49,,6.639990856904353,9.037874311991919,0.8127899193342134
56,8.8,8.8799,8.15,8.52,3160478,8.41,7.51,7.46,,6.720697322307031,9.128561613201974,0.8075906393817696
57,8.62,9.03,8.48,8.74,1437080,8.51,7.61,7.41,,6.9239957065672915,9.202233093791344,0.7891913079973575
58,8.76,9.61,8.4854,9.37,1886791,8.65,7.76,7.4,,7.136461711761667,9.329630158645966,0.8131490717118319
59,9.27,9.74,8.85,9.49,3399314,8.73,7.93,7.41,,7.3174707086123485,9.459312565432448,0.8186384237324155
60,9.7,9.99,9.32,9.54,1975243,8.82,8.11,7.42,,7.5821999186624724,9.56418258597553,0.8080213934658144
61,9.8,9.88,9.065,9.65,3418744,9.01,8.25,7.47,,7.79487953823974,9.67654067922436,0.8085198653611134
62,9.66,9.66,8.73,8.855,6786864,9.05,8.32,7.49,,7.870700103745577,9.734773713567748,0.8171970178353196
63,8.94,8.94,7.89,7.97,6896515,9.0,8.36,7.53,,7.905790792649772,9.735563463123185,0.833825802275654
64,8.4,8.96,8.24,8.51,2086561,8.96,8.45,7.58,,7.875570802750709,9.704173313068852,0.8449811021131073
65,8.65,9.57,8.59,9.38,3976734,9.06,8.57,7.63,,7.995388547681474,9.751682753435535,0.860339594819314
66,9.5,10.275,9.3,10.18,2565706,9.22,8.73,7.7,,8.16408579085179,9.907479852230257,0.8685296237607916
67,10.21,10.32,9.69,10.18,4158096,9.31,8.88,7.76,,8.212817351965136,10.044618714012849,0.8514917934921636
68,10.64,10.94,10.27,10.36,1860075,9.4,9.01,7.82,,8.184519913749993,10.298143493500774,0.8449566653855806
69,10.81,11.6202,10.61,11.49,4740106,9.62,9.17,7.89,,8.25129200028315,10.662050119342814,0.8746169035723249
70,10.95,11.03,10.34,10.77,4088754,9.74,9.27,7.97,,8.33775428449381,10.829915032009644,0.8942871247457304
71,10.63,11.21,10.22,10.85,1693347,9.97,9.38,8.05,,8.453773080589459,11.003331700354375,0.901123758692464
72,10.5,10.74,10.01,10.01,1617970,10.19,9.48,8.11,,8.535324310642554,11.08395030493641,0.8967577759287165
73,10.51,10.839,10.22,10.26,1085958,10.39,9.57,8.18,,8.576603279911017,11.160985977206701,0.8919179347909512
