,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,38.82,40.12,38.31,39.48,2442407,,,,,,,1.8099999999999952
1,39.88,41.05,39.01,40.98,1229521,,,,,,,1.826428571428567
2,40.82,41.62,39.55,39.78,837208,,,,,,,1.843826530612241
3,40.42,40.66,39.12,40.56,1346811,,,,,,,1.8221246355685095
4,39.54,40.43,39.51,40.27,3211480,,,,,,,1.766972875885045
5,38.78,40.44,38.41,39.99,8628680,,,,,,,1.785760527607542
6,37.31,38.8,36.01,36.01,2250150,,,,,,,1.9424919184927176
7,37.53,37.98,34.895,35.67,3032994,,,,,,,2.0240996386003802
8,34.61,34.61,32.55,33.23,2515569,38.44,,,,,,2.1023782358432106
9,30.72,32.25,27.0,27.04,2110633,37.06,,,,,,2.3972083618544096
10,29.32,30.45,27.37,28.26,4054150,35.65,,,,,,2.469550621721952
11,24.37,26.85,23.15,24.225,3808434,33.92,,,,,,2.6581541487418128
12,24.59,24.81,20.79,22.17,3989053,31.87,,,,,,2.755428852403112
13,20.65,22.69,20.01,21.31,4635214,29.77,,,,,,2.7500410772314607
14,21.07,25.62,20.95,25.21,6611803,28.12,,,,,,2.8871810002863567
15,25.68,28.41,25.03,25.97,5489836,27.01,,,,,,2.92238235740876
16,25.28,27.91,23.79,26.53,4416857,25.99,,,,,,3.0079264747367063
17,27.73,29.01,26.72,28.5,1553431,25.47,,,,,,2.9702174408269415
18,29.28,29.73,27.29,28.79,1554480,25.66,,,,,,2.93234476648216
19,28.86,30.7,28.43,30.64,1549857,25.93,31.73,,,16.160270927210433,45.94578635878382,2.8850344260191485
20,29.76,30.34,29.03,29.9,2163733,26.56,31.25,,,16.18606824380982,45.084865066739724,2.793960538446352
21,30.05,31.18,29.36,30.9,1184903,27.53,30.75,,,16.384929202317743,43.96318364358672,2.724391928557327
22,31.29,32.74,30.72,31.83,1467891,28.7,30.35,,,16.813026733283515,42.66343589451902,2.674078219374661
23,30.63,31.24,28.815,29.1,3824859,29.13,29.78,,,17.264539920282125,41.357717385764445,2.6984297751336133
24,28.79,30.26,28.64,29.89,1691816,29.56,29.26,,,17.985767424179627,39.8893173128444,2.6213990769097837
